Rank,Song,Artist,Year,Spotify ID
1,LOW,Flo Rida Featuring T-Pain,2008,0CAfXk7DXMnon4gLudAp7J
2,BLEEDING LOVE,Leona Lewis,2008,7wZUrN8oemZfsEd1CGkbXE
3,NO ONE,Alicia Keys,2008,0JEqGkvUiMTQmFY6sgL9kg
4,LOLLIPOP,Lil Wayne Featuring Static Major,2008,4P7VFiaZb3xrXoqGwZXC3J
5,APOLOGIZE,Timbaland Featuring OneRepublic,2008,6ucR4KfvsBFWCMVFDvyKKl
6,NO AIR,Jordin Sparks Duet With Chris Brown,2008,519tXYJVcrpEMqV2BMbh6E
7,LOVE SONG,Sara Bareilles,2008,4E6cwWJWZw2zWf7VFbH7wf
8,LOVE IN THIS CLUB,Usher Featuring Young Jeezy,2008,5j0McHPthKpOXRr3fBq8M0
9,WITH YOU,Chris Brown,2008,1j3H54xdahpAkNI0q6S89q
10,FOREVER,Chris Brown,2008,7tAXHZdp9UpcYrHn7MZqfo
11,SEXY CAN I,Ray J & Yung Berg,2008,0DdpxWfVvUGgkJv5536tiF
12,TAKE A BOW,Rihanna,2008,3goSVuTt3fDYDP6kRnFwuL
13,VIVA LA VIDA,Coldplay,2008,1mea3bSkSGXuIRvnydlB5b
14,I KISSED A GIRL,Katy Perry,2008,005lwxGU1tms6HGELIcUv9
15,WHATEVER YOU LIKE,T.I.,2008,3tvWMBIblzT5FSjKtIeRR1
16,DISTURBIA,Rihanna,2008,2VOomzT6VavJOGBeySqaMc
17,DON'T STOP THE MUSIC,Rihanna,2008,0ByMNEPAPpOR5H69DVrTNy
18,POCKETFUL OF SUNSHINE,Natasha Bedingfield,2008,1uigwk5hNV84zRd5YQQRTk
19,KISS KISS,Chris Brown Featuring T-Pain,2008,4CweuuMMzi71pO0MSRgyaT
20,CLOSER,Ne-Yo,2008,2XbfY2O2v3xwedUJ0J2kkr
21,BUBBLY,Colbie Caillat,2008,0rFOs9paloAvEtzwDX1Kmc
22,TOUCH MY BODY,Mariah Carey,2008,2H1l4JczUDbiWfQtQElB05
23,4 MINUTES,Madonna Featuring Justin Timberlake,2008,1oHClQEgDmmbcEx12Kc5nZ
24,SO WHAT,Pink,2008,Not On Spotify
25,PARALYZER,Finger Eleven,2008,28IEbk5a7twNTbUEvWslUb
26,CLUMSY,Fergie,2008,50xeLNGKmskmYUSINhqvfa
27,I'M YOURS,Jason Mraz,2008,1EzrEOXmMH3G43AXT1y7pA
28,LEAVIN',Jesse McCartney,2008,20ORwCJusz4KS2PbTPVNKo
29,DANGEROUS,Kardinal Offishall Featuring Akon,2008,Not On Spotify
30,TATTOO,Jordin Sparks,2008,3Ui2jdyxbZQrZohfM0NOgG
31,SEE YOU AGAIN,Miley Cyrus,2008,0G71WvIkF2K6HViJeFvOcM
32,SHAKE IT,Metro Station,2008,5619Ojc6t9evEEs3B7Drhe
33,STOP AND STARE,OneRepublic,2008,48s0QHJgmiNsth3WEO6U4M
34,TAKE YOU THERE,Sean Kingston,2008,6AdLyvisRKHLAwARaZMGr6
35,PAPER PLANES,M.I.A.,2008,1kusepF3AacIEtUTYrw4GV
36,HOT N COLD,Katy Perry,2008,1y4eb6hmAvsqlDOl3fx9kk
37,LIVE YOUR LIFE,T.I. Featuring Rihanna,2008,16GHcGtW9Io7AuVdNmTjv3
