"","Song","Artist","Spotify ID","Year"
"1","Look Away - Remastered Version","Chicago","5VpJrXw5GRP0tSFXAzrRM5","1989"
"2","My Prerogative","Bobby Brown","1qT8Evm2p2jfVIq52G3wVs","1989"
"3","Every Rose Has Its Thorn - 2003 - Remaster","Poison","2IJzqbcbQZjcca53yGkX7t","1989"
"4","Straight Up","Paula Abdul","5xl5582IihbEZAnfj0xyso","1989"
"5","Miss You Much","Janet Jackson","4r5VaK6H1bq0cTGPMTN97Z","1989"
"6","Cold Hearted","Paula Abdul","6jrp8qBMJO6vhAeYVAsdk9","1989"
"7","Wind Beneath My Wings","Bette Midler","43yI1QeWjNMREDMQkz6MXM","1989"
"8","Baby, I Love Your Way/Freebird","Will To Power","0kzSooCGpuphLwn8iTuO9h","1989"
"9","Giving You The Best That I Got [Single Version]","Anita Baker","3Pba5taRKCsgkXyHycA0OX","1989"
"10","Right Here Waiting","Richard Marx","4LFwNJWoj74Yd71fIr1W8x","1989"
"11","Waiting for a Star to Fall","Boy Meets Girl","5J6dMtMyhaNCBojLxpdbzb","1989"
"12","Lost In Your Eyes","Debbie Gibson","1x3xnakIkZZGKi5B8ZZIrF","1989"
"13","Don't Wanna Lose You","Gloria Estefan","5NFbzd8K2VHwrydjKVetIv","1989"
"14","Heaven","Warrant","42J9ponGUZ7A9QlZQT6csY","1989"
"15","The Look","Roxette","4N4iWVwNNXIH0qT5KUCIsp","1989"
"16","She Drives Me Crazy","Fine Young Cannibals","2BPfKiV9U0CR1dpUgeUwuH","1989"
"17","On Our Own - Remix / From ""Ghostbusters II"" Soundtrack","Bobby Brown","5Ufxoce7evv4Z9LofZUKpx","1989"
"18","Two Hearts","Phil Collins","75nyQgntsm6IzWkb4G52bx","1989"
"19","Listen To Your Heart","Roxette","1qIKynV6YQZgocodkPdCy7","1989"
"20","I'll Be There For You","Bon Jovi","4RbgFlvnCoO8JmzBCxCTwu","1989"
"21","If You Don't Know Me By Now","Simply Red","6mY8sdPCxlMTLaViH2rVo4","1989"
"22","Like A Prayer","Madonna","1z3ugFmUKoCzGsI6jdY4Ci","1989"
"23","I'll Be Loving You (Forever)","New Kids On The Block","1cy5US2dffz6QGBAIzOGkq","1989"
"24","How Can I Fall?","Breathe","62oGUBJQGPa3emMGMejBhm","1989"
"25","Forever Your Girl","Paula Abdul","0lmS0Wofcv7B7uFYssSKta","1989"
"26","Eternal Flame","The Bangles","5MoDQWMDMaAGDEiWsJfeCi","1989"
"27","Wild Thing","Tone-Loc","6wETHcwwBle1UnNndH5IbB","1989"
"28","When I See You Smile","Bad English","0tKjVEJlX3IZ5L1rEJc5hh","1989"
"29","If I Could Turn Back Time","Cher","0kvbYSkCbu4NaukfKTsSh8","1989"
"30","Buffalo Stance - 12'' Version","Neneh Cherry","3MFCXMsqCiK5Od8ZNehAn8","1989"
"31","When I'm With You","Sheriff","3RJof5CojqlbgZ5adHw50O","1989"
"32","Don't Rush Me","Dominique Karan","1AD86pvzfJGWzenfK5lSV4","1989"
"33","Born To Be My Baby","Bon Jovi","6htVxmiiuZdYvbnO9R0iQR","1989"
"34","Good Thing","Fine Young Cannibals","76ZnyGfjQZSM8GPfR7OqiJ","1989"
"35","Bust A Move","Young MC","1wfpgFR4S9u975iWtIjlAB","1989"
"36","Once Bitten, Twice Shy","Great White","5xskaOZUPKUCk8Vmc6yTWN","1989"
"37","Batdance","Prince","4DbUk1qwcz9KKcUY4t8f8u","1989"
"38","Rock On - Ver. 09","Michael Damian","6e3O5XkMEhMAatdKnOlZPh","1989"
"39","Real Love","Jody Watley","2yyQLWgpUZEFisUkKzHsdT","1989"
"40","Love Shack - Edit","The B-52's","64B4UbGRLtGRBtiN2m8OvF","1989"
"41","Every Little Step - Remix","Bobby Brown","6OmknRIYvZmABONKgva2GK","1989"
"42","Hangin' Tough - 7"" Version","New Kids On The Block","5fLNSn0KurYAS8O1gyiSkL","1989"
"43","My Heart Can't Tell Me No - 2008 Remastered Version","Rod Stewart","2yMZVQlOz0z8J27hxQIfN1","1989"
"44","So Alive","Love and Rockets","6amZm52SfS7d6oCEu9NDMl","1989"
"45","You Got It (The Right Stuff)","New Kids On The Block","50vs7ckrWFbamxtbDc9c6v","1989"
"46","Armageddon It - Live","Def Leppard","2TOh6x5pOP3a3hzCmgHx7n","1989"
"47","Satisfied","Richard Marx","4V87hYB94wu8DFtd901riK","1989"
"48","Express Yourself","Madonna","6ioBgySxoeQKALvAeLEmId","1989"
"49","Soldier Of Love - 12"" Version","Donny Osmond","1I0HPyA358wezY1aCpuLBS","1989"
"50","Sowing The Seeds Of Love - 7"" Version","Tears For Fears","1VVzF4TT31vzjEtXP8oa7W","1989"
"51","Cherish","Madonna","7BLKBIoijWCkDyOATEr5vW","1989"
"52","When The Children Cry","White Lion","0nDbYgVGoyv9seCYH0DUyo","1989"
"53","18 And Life","Skid Row","0qgrrDnUUhyxpxbBznUnzg","1989"
"54","I Don't Want Your Love","Duran Duran","4XlMPyTNmxbVfFfOd85SKz","1989"
"55","Second Chance","38 Special","0RAn8LOs5QVMLy2xH30bUj","1989"
"56","The Way You Love Me","Karyn White","1TtJkmAW9Rc55iVOPgZ33z","1989"
