"","Song","Artist","Year","Spotify ID"
"1","Irreplaceable","Beyonc<U+00E9>",2007,"6RX5iL93VZ5fKmyvNXvF1r"
"2","Umbrella","Rihanna",2007,"49FYlytm3dAAraYgpoJZux"
"3","The Sweet Escape","Gwen Stefani",2007,"66ZcOcouenzZEnzTJvoFmH"
"4","Buy U a Drank (Shawty Snappin')","T-Pain",2007,"2aIdVb8v9KTpEZnftkz2mD"
"5","Before He Cheats","Carrie Underwood",2007,"0ZUo4YjG4saFnEJhdWp9Bt"
"6","Hey There Delilah","Plain White T's",2007,"1NarGDteHRuDA9OfGyQ2MG"
"7","I Wanna Love You","Akon",2007,"4xAk8Lw82G3YoVSOdVAsBx"
"8","Say It Right","Nelly Furtado",2007,"12MTkBZUoOC1BySWtVKLKr"
"9","Don't Matter","Akon",2007,"7I6DceMT3utDOHjcYCbrr4"
"10","Girlfriend","Avril Lavigne",2007,"5HbCnVLXRyZVxnreOPgJCK"
"11","Makes Me Wonder","Maroon 5",2007,"7FfRF16SWU2h6tfB4lOqtA"
"12","Party Like A Rock Star","Shop Boyz",2007,"5kGCh49aqeRMkEOhQ9mcrW"
"13","Smack That - Dirty","Akon",2007,"5eLovQzx9cm6RkQq388JyN"
"14","This Is Why I'm Hot","MiMS",2007,"1rBCqUMWdZSTCnlj3q6MiI"
"15","It's Not Over","Daughtry",2007,"0wIhWLNLIOmzQ89B3rtTd3"
"16","The Way I Are","Timbaland",2007,"5RM4iGrNOyeKLTcMv2FPc9"
"17","Crank That (Soulja Boy) [Travis Barker Remix]","Soulja Boy",2007,"5WeiB5JDBy6T5QQxtj09zb"
"18","Give It To Me","Timbaland",2007,"0wbDgMuAoy7O7pL3a69uZx"
"19","What Goes Around.../...Comes Around (Interlude)","Justin Timberlake",2007,"3pD0f7hSJg2XdQ6udw5Tey"
"20","Cupid's Chokehold / Breakfast In America","Gym Class Heroes",2007,"2Lhdl74nwwVGOE2Gv35QuK"
"21","How To Save A Life - New Album Version","The Fray",2007,"6DofTIG2Su74CBY7gXC423"
"22","Home","Daughtry",2007,"2nXWKf0GXbFby4posGqEht"
"23","My Love","Justin Timberlake",2007,"13X42np3KJr0o2LkK1MG76"
"24","Stronger","Kanye West",2007,"6C7RJEIUDqKkJRZVWdkfkH"
"25","We Fly High","Jim Jones",2007,"2M6An7pyyNwEObR7c7uCVp"
"26","U + Ur Hand","P!nk",2007,"7aBVQ8dcHytEddV0SlDrcQ"
"27","Walk It Out","Unk",2007,"29TwAJfQ7rR7peyr6eZpL0"
"28","Beautiful Girls","Sean Kingston",2007,"1hGy2eLcmC8eKx7qr1tOqx"
"29","This Ain't A Scene, It's An Arms Race","Fall Out Boy",2007,"5ybUdN3DmQL8T3eqg4XjmQ"
"30","Bartender","T-Pain",2007,"5kxddRG1RZaZROadk7iC4D"
"31","Pop, Lock, and Drop It","Baby Huey",2007,"58grvWRe0gIIGXvx5tE72g"
"32","Runaway Love - (Explicit)","Ludacris",2007,"0VPTq1UBP8fcWKYgLAtesN"
"33","Rockstar","Nickelback",2007,"6n9yCXvLhnYMgJIiIcMu7D"
"34","Thnks fr th Mmrs","Fall Out Boy",2007,"0bD5aCBb46dEtEVkv9hd1m"
"35","What I've Done","Linkin Park",2007,"1vJ00sqL2EvSO6wKGktYB4"
"36","Summer Love","Justin Timberlake",2007,"1MBM7CyZbwJpVbbZJnHHRg"
"37","You","Lloyd",2007,"5Y77SQxEr1eiofPeUTPHxM"
"38","Wait For You","Elliott Yamin",2007,"3MYwiHsnNjSfaacdLUHNcz"
"39","Last Night (feat. Keyshia Cole)","Diddy",2007,"5gfPJ45gpn3ThswDyeW0Qc"
"40","Make It Rain - Feat. Lil Wayne","Fat Joe",2007,"185wFmHycj2zqxOtlga2k6"
