Rank,Song,Artist,Year,Spotify ID
1,Uptown Funk!,Mark Ronson (ft. Bruno Mars),2015,32OlwWuMpZ6b0aN2RZOeMS
2,Thinking Out Loud,Ed Sheeran,2015,34gCuhDGsG4bRPIf9bb02f
3,See You Again,Wiz Khalifa (ft. Charlie Puth),2015,7wqSzGeodspE3V6RBD5W8L
4,Trap Queen,Fetty Wap,2015,2d8JP84HNLKhmd6IYOoupQ
5,Sugar,Maroon 5,2015,2iuZJX9X9P0GKaE93xcPjk
6,Shut Up and Dance,Walk the Moon,2015,4kbj5MwxO1bq9wjT5g9HaA
7,Blank Space,Taylor Swift,2015,Not on Spotify
8,Watch Me,Silento,2015,5RIVoVdkDLEygELLCniZFr
9,Earned It (Fifty Shades of Grey),The Weeknd,2015,2PIvq1pGrUjY007X5y1UpM
10,The Hills,The Weeknd,2015,7fBv7CLKzipRk6EC6TWHOB
11,Cheerleader,OMI,2015,2XPc8gL9PwxGURQFcFaDJR
12,Can't Feel My Face,The Weeknd,2015,22VdIZQfgXJea34mQxlt81
13,Love Me Like You Do,Ellie Goulding,2015,2l8w0zZVn4AZNuzrht7MRT
14,Take Me to Church,Hozier,2015,0aOluBqXYd0rFSCsgDyAWX
15,Bad Blood,Taylor Swift (ft. Kendrick Lamar),2015,Not on Spotify
16,Lean On,Major Lazer & DJ Snake (ft. MO),2015,5wldXGLEOoRXxMWJ8rIUWE
17,Want to Want Me,Jason Derulo,2015,7oGZAicScQt96OAW4AruYy
18,Shake it Off,Taylor Swift,2015,Not on Spotify
19,Where Are U Now,Skrillex & Diplo with Justin Bieber,2015,66hayvUbTotekKU3H4ta1f
20,Fight Song,Rachel Platten,2015,37f4ITSlgPX81ad2EvmVQr
21,679,Fetty Wap (ft. Remy Boyz),2015,5NQbUaeTEOGdD6hHcre0dZ
22,Lips Are Movin,Meghan Trainer,2015,6gj08XDlv9Duc2fPOxUmVD
23,Worth It,Fifth Harmony (ft. Kid Ink),2015,41Fflg7qHiVOD6dEPvsCzO
24,Post To Be,Omarion (ft. Chris Brown & Jhene Aiko),2015,6p5abLu89ZSSpRQnbK9Wqs
25,"Honey, I'm Good",Andy Grammer,2015,4orphgwPHHRsdEkfUmANSD
