"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","50kpGaPAhYJ3sGmk6vplg0",0.607,0.376,4,-9.954,1,0.453,0.856,0,0.285,0.559,102.541,233720,4,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0"
"2","09CtPGIpYB4BrO8qb1RGsF",0.605,0.768,0,-3.724,0,0.0476,0.0865,0,0.308,0.396,100.209,200787,4,"spotify:track:09CtPGIpYB4BrO8qb1RGsF","https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF"
"3","12VWzyPDBCc8fqeWCAfNwR",0.785,0.617,1,-5.871,1,0.0522,0.00902,0.00246,0.351,0.378,103.981,173987,4,"spotify:track:12VWzyPDBCc8fqeWCAfNwR","https://api.spotify.com/v1/audio-analysis/12VWzyPDBCc8fqeWCAfNwR"
"4","32lmL4vQAAotg6MrJnhlQZ",0.667,0.538,11,-6.294,1,0.0953,0.0644,0,0.0928,0.537,91.296,219320,4,"spotify:track:32lmL4vQAAotg6MrJnhlQZ","https://api.spotify.com/v1/audio-analysis/32lmL4vQAAotg6MrJnhlQZ"
"5","3CRDbSIZ4r5MsZ0YwxuEkn",0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.638,169.977,202333,4,"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn"
"6","275a9yzwGB6ncAW4SxY7q3",0.72,0.748,10,-5.522,0,0.393,0.0235,0,0.369,0.245,145.22,247867,4,"spotify:track:275a9yzwGB6ncAW4SxY7q3","https://api.spotify.com/v1/audio-analysis/275a9yzwGB6ncAW4SxY7q3"
"7","0ENSn4fwAbCGeFGVUbXEU3",0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.287,157.966,295493,4,"spotify:track:0ENSn4fwAbCGeFGVUbXEU3","https://api.spotify.com/v1/audio-analysis/0ENSn4fwAbCGeFGVUbXEU3"
"8","1i1fxkWeaMmKEB4T7zqbzK",0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.419,159.803,208373,4,"spotify:track:1i1fxkWeaMmKEB4T7zqbzK","https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK"
"9","1WkMMavIMc4JZ8cfMmxHkI",0.669,0.832,0,-5.72,1,0.0682,0.0106,0,0.0968,0.714,113.035,237547,4,"spotify:track:1WkMMavIMc4JZ8cfMmxHkI","https://api.spotify.com/v1/audio-analysis/1WkMMavIMc4JZ8cfMmxHkI"
"10","7BKLCZ1jbUBVqRi2FVlTVw",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.635,95.01,244960,4,"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw"
"11","3S4px9f4lceWdKf0gWciFu",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.73,89.976,211667,4,"spotify:track:3S4px9f4lceWdKf0gWciFu","https://api.spotify.com/v1/audio-analysis/3S4px9f4lceWdKf0gWciFu"
"12","5kqIPrATaCc2LqxVWzQGbk",0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.343,119.992,237300,4,"spotify:track:5kqIPrATaCc2LqxVWzQGbk","https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk"
"13","1Tt4sE4pXi57mTD1GCzsqm",0.688,0.325,5,-8.083,0,0.251,0.107,0,0.0837,0.274,110.888,191600,4,"spotify:track:1Tt4sE4pXi57mTD1GCzsqm","https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm"
"14","6Knv6wdA0luoMUuuoYi2i1",0.688,0.702,7,-4.792,0,0.0499,0.0215,0,0.128,0.731,94.006,192191,4,"spotify:track:6Knv6wdA0luoMUuuoYi2i1","https://api.spotify.com/v1/audio-analysis/6Knv6wdA0luoMUuuoYi2i1"
"15","1MtUq6Wp1eQ8PC6BbPCj8P",0.665,0.725,7,-6.588,0,0.12,0.034,9.17e-06,0.0864,0.697,101.96,197933,4,"spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P","https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P"
"16","4tCtwWceOPWzenK2HAIJSb",0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.588,105.017,214480,4,"spotify:track:4tCtwWceOPWzenK2HAIJSb","https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb"
"17","0azC730Exh71aQlOt9Zj3y",0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.46,123.963,222160,4,"spotify:track:0azC730Exh71aQlOt9Zj3y","https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y"
"18","76hfruVvmfQbw0eYn1nmeC",0.774,0.765,4,-5.439,0,0.0502,0.156,0,0.0373,0.91,119.001,219147,4,"spotify:track:76hfruVvmfQbw0eYn1nmeC","https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC"
