"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","2PnNomkEqlg9ADKCVG0Wt0",0.828,0.447,1,-10.563,1,0.0349,0.413,0.00335,0.074,0.686,117.391,253733,4,"spotify:track:2PnNomkEqlg9ADKCVG0Wt0","https://api.spotify.com/v1/audio-analysis/2PnNomkEqlg9ADKCVG0Wt0"
"2","3EzlF0tKEQstSzFqWzkLZE",0.927,0.575,11,-5.553,0,0.0431,0.022,0.014,0.0391,0.88,117.128,294787,4,"spotify:track:3EzlF0tKEQstSzFqWzkLZE","https://api.spotify.com/v1/audio-analysis/3EzlF0tKEQstSzFqWzkLZE"
"3","1vyI6X2Id2CarE73XOLGxM",0.501,0.695,10,-7.399,1,0.058,0.508,0,0.0765,0.567,121.973,246253,4,"spotify:track:1vyI6X2Id2CarE73XOLGxM","https://api.spotify.com/v1/audio-analysis/1vyI6X2Id2CarE73XOLGxM"
"4","5ETbctpnDNloYA4IO6s0wn",0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.903,107.231,220867,4,"spotify:track:5ETbctpnDNloYA4IO6s0wn","https://api.spotify.com/v1/audio-analysis/5ETbctpnDNloYA4IO6s0wn"
"5","1xEpz8iZDReyXevFcP89XG",0.783,0.809,3,-5.532,0,0.0436,0.0359,1.38e-05,0.199,0.917,138.979,258040,4,"spotify:track:1xEpz8iZDReyXevFcP89XG","https://api.spotify.com/v1/audio-analysis/1xEpz8iZDReyXevFcP89XG"
"6","5prTs2HAw2G4idHZyeFp8o",0.435,0.658,8,-8.179,1,0.0661,0.195,0,0.102,0.183,130.276,269787,4,"spotify:track:5prTs2HAw2G4idHZyeFp8o","https://api.spotify.com/v1/audio-analysis/5prTs2HAw2G4idHZyeFp8o"
"7","4aKIs5t9TqP59btlCGPrgw",0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43e-05,0.0973,0.807,88.75,271893,4,"spotify:track:4aKIs5t9TqP59btlCGPrgw","https://api.spotify.com/v1/audio-analysis/4aKIs5t9TqP59btlCGPrgw"
"8","2yPOanQUfr1QQcfPTD9TmJ",0.637,0.73,3,-7.368,0,0.034,0.00482,0.000449,0.0251,0.828,157.202,259135,4,"spotify:track:2yPOanQUfr1QQcfPTD9TmJ","https://api.spotify.com/v1/audio-analysis/2yPOanQUfr1QQcfPTD9TmJ"
"9","1TfqLAPs4K3s2rJMoCokcS",0.692,0.711,0,-7.498,0,0.0317,0.227,0,0.12,0.866,125.135,216933,4,"spotify:track:1TfqLAPs4K3s2rJMoCokcS","https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS"
"10","1HerMONdBbVd0IQJE73sgZ",0.741,0.623,4,-6.284,0,0.0318,0.0593,0,0.128,0.285,100.621,264773,4,"spotify:track:1HerMONdBbVd0IQJE73sgZ","https://api.spotify.com/v1/audio-analysis/1HerMONdBbVd0IQJE73sgZ"
"11","55uZJFuImJzBXLeBC3x7Co",0.49,0.457,5,-8.573,1,0.0255,0.198,2.07e-05,0.103,0.171,82.791,237067,4,"spotify:track:55uZJFuImJzBXLeBC3x7Co","https://api.spotify.com/v1/audio-analysis/55uZJFuImJzBXLeBC3x7Co"
"12","1NJjpKwH4fECJOLhohcDDw",0.433,0.488,0,-10.931,1,0.0456,0.377,0,0.099,0.853,105.904,254987,4,"spotify:track:1NJjpKwH4fECJOLhohcDDw","https://api.spotify.com/v1/audio-analysis/1NJjpKwH4fECJOLhohcDDw"
"13","3FlOciKDqFlTMPeC7t92Qy",0.765,0.639,8,-12.963,0,0.0382,0.00669,0.0122,0.0798,0.985,136.495,320840,4,"spotify:track:3FlOciKDqFlTMPeC7t92Qy","https://api.spotify.com/v1/audio-analysis/3FlOciKDqFlTMPeC7t92Qy"
"14","5u8bqfaYSh0qVTsgslPknf",0.633,0.396,7,-12.35,1,0.0319,0.547,0,0.671,0.353,132.55,255600,4,"spotify:track:5u8bqfaYSh0qVTsgslPknf","https://api.spotify.com/v1/audio-analysis/5u8bqfaYSh0qVTsgslPknf"
"15","2HuHopKnnuGQEpGb0CssCs",0.654,0.903,0,-5.252,1,0.0798,0.0222,0,0.241,0.597,129.442,205227,4,"spotify:track:2HuHopKnnuGQEpGb0CssCs","https://api.spotify.com/v1/audio-analysis/2HuHopKnnuGQEpGb0CssCs"
"16","0F0MA0ns8oXwGw66B2BSXm",0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.708,115.043,457133,4,"spotify:track:0F0MA0ns8oXwGw66B2BSXm","https://api.spotify.com/v1/audio-analysis/0F0MA0ns8oXwGw66B2BSXm"
"17","6j0ri1fbU2QDXlDrhgkuFk",0.363,0.801,11,-6.677,0,0.039,0.0944,0.0987,0.986,0.536,124.902,393653,4,"spotify:track:6j0ri1fbU2QDXlDrhgkuFk","https://api.spotify.com/v1/audio-analysis/6j0ri1fbU2QDXlDrhgkuFk"
"18","1fQyiulxuPu8ywfIrOM3ft",0.596,0.568,2,-15.168,0,0.034,0.116,0.139,0.0412,0.904,108.184,330977,4,"spotify:track:1fQyiulxuPu8ywfIrOM3ft","https://api.spotify.com/v1/audio-analysis/1fQyiulxuPu8ywfIrOM3ft"
"19","1pohUcbLfJF3O6CTTAwBHG",0.803,0.484,0,-13.458,1,0.0395,0.057,0.0269,0.0711,0.804,112.3,212370,4,"spotify:track:1pohUcbLfJF3O6CTTAwBHG","https://api.spotify.com/v1/audio-analysis/1pohUcbLfJF3O6CTTAwBHG"
"20","4cqUq7n3ad0DhJ2JCVw34v",0.969,0.509,2,-7.622,1,0.193,0.208,0.000555,0.0665,0.77,121.991,224960,4,"spotify:track:4cqUq7n3ad0DhJ2JCVw34v","https://api.spotify.com/v1/audio-analysis/4cqUq7n3ad0DhJ2JCVw34v"
"21","0BWravaqj9rKdOU8RWXhuf",0.799,0.755,9,-11.538,1,0.0419,0.108,0.169,0.0661,0.975,128.695,221267,4,"spotify:track:0BWravaqj9rKdOU8RWXhuf","https://api.spotify.com/v1/audio-analysis/0BWravaqj9rKdOU8RWXhuf"
"22","2374M0fQpWi3dLnB54qaLX",0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.735,92.717,295893,4,"spotify:track:2374M0fQpWi3dLnB54qaLX","https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX"
"23","76Gmfksb2uBzx5N72DcHT0",0.748,0.746,1,-9.721,1,0.111,0.281,3.31e-05,0.632,0.712,123.144,296907,4,"spotify:track:76Gmfksb2uBzx5N72DcHT0","https://api.spotify.com/v1/audio-analysis/76Gmfksb2uBzx5N72DcHT0"
"24","4cMHCRLPNoEbpnl2rz6GS9",0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.813,153.24,231120,4,"spotify:track:4cMHCRLPNoEbpnl2rz6GS9","https://api.spotify.com/v1/audio-analysis/4cMHCRLPNoEbpnl2rz6GS9"
"25","0Co8hKbjUy273NrGliGdWZ",0.573,0.429,2,-8.68,1,0.0294,0.597,8.18e-05,0.0839,0.337,139.097,233240,4,"spotify:track:0Co8hKbjUy273NrGliGdWZ","https://api.spotify.com/v1/audio-analysis/0Co8hKbjUy273NrGliGdWZ"
"26","61yhNRBnlbKb7j51e8OZCJ",0.629,0.748,1,-5.531,1,0.0426,0.221,0,0.0735,0.352,144.067,327360,4,"spotify:track:61yhNRBnlbKb7j51e8OZCJ","https://api.spotify.com/v1/audio-analysis/61yhNRBnlbKb7j51e8OZCJ"
"27","6I8xhomIJJcXzNN43TotPv",0.797,0.43,1,-11.765,1,0.0349,0.34,7.12e-05,0.0726,0.598,111.811,246227,4,"spotify:track:6I8xhomIJJcXzNN43TotPv","https://api.spotify.com/v1/audio-analysis/6I8xhomIJJcXzNN43TotPv"
"28","0ROtxObpdDA25o5DriPSOk",0.694,0.716,7,-7.468,1,0.0513,0.00909,0.000814,0.0772,0.896,121.427,337187,4,"spotify:track:0ROtxObpdDA25o5DriPSOk","https://api.spotify.com/v1/audio-analysis/0ROtxObpdDA25o5DriPSOk"
"29","4RUkk4vAzPVYqBdHNW9T6i",0.805,0.287,0,-17.133,1,0.0775,0.168,0.00153,0.175,0.796,98.649,281160,4,"spotify:track:4RUkk4vAzPVYqBdHNW9T6i","https://api.spotify.com/v1/audio-analysis/4RUkk4vAzPVYqBdHNW9T6i"
"30","4HruSQTQR65g2HU9dUy0FS",0.801,0.536,5,-11.98,0,0.0656,0.112,0.000157,0.073,0.722,94.369,236760,4,"spotify:track:4HruSQTQR65g2HU9dUy0FS","https://api.spotify.com/v1/audio-analysis/4HruSQTQR65g2HU9dUy0FS"
"31","0ZfZaT7NByalxa6bct5G67",0.711,0.609,0,-9.042,1,0.0764,0.381,1.24e-06,0.204,0.679,118.132,224733,4,"spotify:track:0ZfZaT7NByalxa6bct5G67","https://api.spotify.com/v1/audio-analysis/0ZfZaT7NByalxa6bct5G67"
"32","6UguIecQmrmEy1NjCHZsTV",0.719,0.626,0,-11.236,0,0.0347,0.539,0,0.0582,0.921,116.958,223893,4,"spotify:track:6UguIecQmrmEy1NjCHZsTV","https://api.spotify.com/v1/audio-analysis/6UguIecQmrmEy1NjCHZsTV"
"33","5kuzI2Sz53X8P0qztbYzu2",0.525,0.877,5,-4.497,1,0.0461,0.0255,0,0.117,0.625,101.665,164867,4,"spotify:track:5kuzI2Sz53X8P0qztbYzu2","https://api.spotify.com/v1/audio-analysis/5kuzI2Sz53X8P0qztbYzu2"
"34","162gk2vyorLJCuZMu43Ift",0.684,0.8,4,-10.464,1,0.0449,0.262,3.5e-06,0.0624,0.969,148.205,254667,4,"spotify:track:162gk2vyorLJCuZMu43Ift","https://api.spotify.com/v1/audio-analysis/162gk2vyorLJCuZMu43Ift"
"35","4YUlGNZfYA6EUE5KDsGqpC",0.639,0.923,7,-5.708,1,0.032,0.0674,0,0.0879,0.774,97.874,175347,4,"spotify:track:4YUlGNZfYA6EUE5KDsGqpC","https://api.spotify.com/v1/audio-analysis/4YUlGNZfYA6EUE5KDsGqpC"
