"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"1","In Da Club","50 Cent",2003,"7iL6o9tox1zgHpKUfh9vuC",0.899,0.713,90.051,-2.752,0.366,0.255,0,0.0708,193467
"2","Ignition (Remix)","R. Kelly",2003,"0nmxH6IsSQVT1YEsCB9UMi",0.787,0.527,133.107,-6.981,0.0512,0.0615,0,0.0656,187733
"3","Get Busy","Sean Paul",2003,"7C86DVl6REN8VPeGEMOf9q",0.735,0.824,100.202,-4.143,0.036,0.615,0,0.158,211666
"4","When I'm Gone","3 Doors Down",2003,"1Nuqm2gavvcmZtEFWvbDbK",0.455,0.764,74.021,-5.633,0.0327,0.00446,0,0.105,260507
"5","Unwell - Remastered Version","Matchbox Twenty",2003,"0PXWpNBYg52gABrn1qL1bD",0.442,0.793,80.985,-5.152,0.0347,0.0456,0,0.328,237267
"6","Right Thurr","Chingy",2003,"0l3GEbH3CviUytD6iX4wzg",0.866,0.749,92.077,-3.977,0.253,0.15,0,0.0591,249800
"7","Miss You","Aaliyah",2003,"47mdv9ScE1lLbKPTMgxtqg",0.547,0.334,109.757,-10.096,0.0355,0.624,0,0.229,245211
"8","Beautiful","Christina Aguilera",2003,"0Ri6sPso4CNTnHn7RroCt4",0.457,0.573,76.193,-3.866,0.0275,0.578,3.05e-06,0.114,238560
"9","I'm with You","Avril Lavigne",2003,"2jHujamO9UuZv8im9eLdOB",0.457,0.406,151.95,-7.462,0.0291,0.08,0,0.117,223067
"10","P.I.M.P.","50 Cent",2003,"1IRNjfivqiDhzey02C11ge",0.684,0.773,78.66,-3.05,0.351,0.0521,1.49e-05,0.0328,249840
"11","Bump, Bump, Bump","B2K",2003,"5tKbrFMvQJlG1reK5aDmkc",0.838,0.661,95.493,-6.387,0.196,0.107,0,0.115,279000
"12","Where Is The Love?","The Black Eyed Peas",2003,"4DH9KwQ31wVFUsNFM47bEb",0.835,0.687,94.059,-3.18,0.184,0.101,0,0.132,272533
"13","Lose Yourself - Soundtrack Version","Eminem",2003,"0j5X6DrzkgY64Mm8NQp5mi",0.69,0.747,171.367,-4.583,0.264,0.00984,0.000685,0.355,326640
"14","Rock Wit U (Awww Baby)","Ashanti",2003,"0mI5eE0IuermT57lb0Szas",0.71,0.797,94.994,-3.005,0.0718,0.409,0,0.155,208980
"15","Cry Me a River","Justin Timberlake",2003,"7Lf7oSEVdzZqTA0kEDSlS5",0.624,0.653,73.884,-6.582,0.176,0.575,0,0.104,288333
"16","How You Gonna Act Like That","Tyrese",2003,"3OUApyz3jDB3syGUNGqB1d",0.733,0.521,112.913,-3.657,0.0457,0.107,0,0.0692,294693
"17","Rock Your Body","Justin Timberlake",2003,"1AWQoqb9bSvzTjaLralEkT",0.891,0.714,100.972,-6.055,0.14,0.202,0.000234,0.0521,267267
"18","No Letting Go","Wayne Wonder",2003,"1A0KS49SPUTb5HpVXOiSbZ",0.473,0.832,100.157,-5.257,0.0528,0.0675,0.000151,0.302,200733
"19","Landslide","Dixie Chicks",2003,"7GzN0UuX8rdMp8BHzJhwAr",0.571,0.394,145.944,-8.483,0.0272,0.569,4.21e-06,0.141,228627
"20","Work It","Missy Elliott",2003,"3jagJCUbdqhDSPuxP8cAqF",0.884,0.677,101.868,-5.603,0.283,0.0778,0,0.0732,263227
"21","So Gone","Monica",2003,"6BIcjFZIVDZxNAcofRFPx4",0.618,0.552,81.975,-6.863,0.0981,0.176,0,0.252,242773
"22","Never Leave You - Uh Ooh, Uh Oooh! - Main","Lumidee",2003,"0gNWux0dyHOx6iRNAFev3I",0.805,0.639,199.996,-6.35,0.38,0.0421,0.601,0.0797,184960
"23","Miss Independent","Kelly Clarkson",2003,"3v4yDypfo94dachEvmjQdj",0.656,0.615,175.943,-6.359,0.137,0.0769,0.000415,0.0706,214773
"24","Calling All Angels","Train",2003,"0E29BKKGCJHcb7b9oIWgGB",0.454,0.839,166.166,-5.368,0.0441,0.0746,0,0.279,242200
"25","This Is The Night","Clay Aiken",2003,"6QP46GKcggdxLbVLWilLVc",0.53,0.562,98.994,-8.314,0.0275,0.137,1.22e-06,0.225,211960
"26","Headstrong","Trapt",2003,"1AEYT6VxrxXPMoQUxsY0E4",0.492,0.896,184.981,-5.819,0.117,0.000172,2.78e-06,0.189,285570
"27","In Those Jeans","Ginuwine",2003,"5ojJNnX5ND2gMGojPd3NiO",0.691,0.541,127.683,-5.873,0.0776,0.508,0,0.0753,243307
"28","The Remedy - Live On Earth Version","Jason Mraz",2003,"6nRoGs2NWVeYO1pGSxoDLY",0.497,0.882,87.27,-4.047,0.0658,0.0832,0,0.929,381640
"29","Excuse Me Miss","JAY Z",2003,"5igi8eXou8md6Hpdo4TQm0",0.714,0.86,92.956,-5.519,0.295,0.034,0,0.103,281240
"30","Are You Happy Now?","Michelle Branch",2003,"5B7XIcS5T76NJZFOHX30Io",0.484,0.827,179.566,-5.324,0.046,0.0039,0.00143,0.0876,230760
"31","Forever And For Always - Red Album Version","Shania Twain",2003,"25Bk9xtboDmCN8SUiWDXve",0.519,0.753,85.937,-5.893,0.037,0.205,1.06e-06,0.12,283600
"32","I Can","Nas",2003,"4E2j9dtimUItAjUhafldtX",0.839,0.893,95.314,-3.963,0.198,0.109,0,0.0545,254600
"33","If You're Not The One","Daniel Bedingfield",2003,"2Xc8yEoFXNdjE9tqb6myCI",0.683,0.45,120.027,-11.049,0.0319,0.628,0,0.0811,252560
"34","Thoia Thoing","R. Kelly",2003,"1ePm7iM48W0ayPCQLAjoUN",0.582,0.642,85.565,-4.925,0.307,0.274,2.98e-05,0.0717,221267
"35","Here Without You","3 Doors Down",2003,"7qQfI2F80t2MZcLLVuH6M2",0.544,0.55,144.028,-6.756,0.0248,0.0541,0,0.243,236920
"36","Wanksta - From ""8 Mile"" Soundtrack","50 Cent",2003,"2eXlwgFPe6HgFaPJO8xQHK",0.802,0.863,81.008,-3.552,0.2,0.0199,0,0.141,219400
"37","My Love Is Like...Wo - Main Mix/Album Version","M<U+00FD>a",2003,"3Hv5C8sbNd8i6LhfrIY3Yo",0.813,0.627,132.825,-8.4,0.106,0.131,0,0.196,202533
"38","Like Glue","Sean Paul",2003,"2thQ8Zi2V8z6XJuCvxHm7V",0.757,0.78,97.917,-5.038,0.319,0.0811,0,0.113,232507
"39","My Front Porch Looking In","Lonestar",2003,"3infEr3WNjesDtV7JqDPwY",0.552,0.808,102.87,-5.569,0.0444,0.0381,0,0.312,223933
"40","Angel","Amanda Perez",2003,"2T4rXDppGlcy2lLuF4IyHq",0.638,0.54,143.772,-6.849,0.0473,0.506,0,0.157,218760
"41","She Hates Me","Puddle Of Mudd",2003,"1b7W82wt7cFgOQQ5XVKKoN",0.577,0.751,110.167,-5.319,0.0337,0.0085,0,0.778,215992
"42","Don't Wanna Try","Frankie J",2003,"02y3FRLRlmzIpi2y8ZbN2w",0.677,0.422,130.2,-8.443,0.0356,0.395,0,0.288,245063
"43","Intuition","Jewel",2003,"21CCDnq8ROJEnQ7CL72xFA",0.715,0.776,100.019,-4.604,0.0556,0.00912,0.000314,0.114,227160
"44","Fighter","Christina Aguilera",2003,"0qbNSBQ0oKt55pUsO6Mw7A",0.435,0.92,188.899,-1.357,0.201,0.235,0.000353,0.552,245960
"45","Thugz Mansion - 2Pac Original/Acoustic (Explicit)","2Pac",2003,"5qJPRg0Ph69qE6E64zAMmG",0.731,0.417,88.161,-8.708,0.168,0.657,0,0.115,252293
"46","Clocks","Coldplay",2003,"0BCPKOYdS2jbQ8iyB56Zns",0.577,0.749,130.969,-7.215,0.0279,0.599,0.0112,0.183,307880
"47","Rain On Me","Ashanti",2003,"4v5WnO30GpzdHasUOY3UsH",0.606,0.699,83.698,-3.103,0.0337,0.344,1.93e-06,0.0776,297680
"48","19 Somethin<U+2019>","Mark Wills",2003,"2TBR4T0kFjlE8YtwZzBVvw",0.64,0.653,90.045,-9.145,0.0575,0.0945,0,0.28,229120
"49","Can't Stop, Won't Stop - Album Version Remix (Explicit)","Young Gunz",2003,"0a0HVlMAWI25EDo9Hr7aR7",0.873,0.809,99.989,-5.185,0.224,0.00837,0,0.371,262800
"50","Red Dirt Road","Brooks & Dunn",2003,"5QHElgktygMkgRdpPhXfn2",0.553,0.864,136.128,-4.038,0.0414,0.0736,0.000311,0.138,260017
"51","What Was I Thinkin'","Dierks Bentley",2003,"0r8iDf65NHgFgZOGLwj5r8",0.551,0.825,164.857,-6.24,0.044,0.152,6.2e-06,0.0999,260827
"52","Flying Without Wings","Ruben Studdard",2003,"4vzYcDxBXAUPYDUna4BVeE",0.498,0.493,146.049,-7.748,0.0369,0.75,0,0.115,226133
"53","Sing For The Moment","Eminem",2003,"3C7RbG9Co0zjO7CsuEOqRa",0.677,0.812,163.851,-4.235,0.13,0.0018,1.93e-06,0.0741,340267
"54","A Good Day To Run","Darryl Worley",2003,"7xX9mZmjCVzNeAcceLuUiD",0.597,0.787,147.36,-5.322,0.0285,0.222,3.7e-05,0.0982,188573
