"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","LOW","Flo Rida Featuring T-Pain",2008,"0CAfXk7DXMnon4gLudAp7J",0.918,0.609,128.008,-5.64,0.0791,0.0928,0,0.139
"2","BLEEDING LOVE","Leona Lewis",2008,"7wZUrN8oemZfsEd1CGkbXE",0.638,0.656,104.036,-5.886,0.0357,0.188,0,0.146
"3","NO ONE","Alicia Keys",2008,"0JEqGkvUiMTQmFY6sgL9kg",0.649,0.552,89.969,-5.419,0.0292,0.03,6.47e-06,0.111
"4","LOLLIPOP","Lil Wayne Featuring Static Major",2008,"4P7VFiaZb3xrXoqGwZXC3J",0.828,0.433,148.073,-9.716,0.199,0.0656,0.000876,0.122
"5","APOLOGIZE","Timbaland Featuring OneRepublic",2008,"6ucR4KfvsBFWCMVFDvyKKl",0.654,0.61,118.032,-6.051,0.0285,0.0399,0,0.101
"6","NO AIR","Jordin Sparks Duet With Chris Brown",2008,"519tXYJVcrpEMqV2BMbh6E",0.466,0.759,160.033,-4.978,0.199,0.0521,0,0.0587
"7","LOVE SONG","Sara Bareilles",2008,"4E6cwWJWZw2zWf7VFbH7wf",0.583,0.786,123.052,-3.142,0.0301,0.0208,0,0.188
"8","LOVE IN THIS CLUB","Usher Featuring Young Jeezy",2008,"5j0McHPthKpOXRr3fBq8M0",0.573,0.712,140.012,-5.976,0.0732,0.0572,0,0.167
"9","WITH YOU","Chris Brown",2008,"1j3H54xdahpAkNI0q6S89q",0.659,0.696,86.001,-4.291,0.071,0.143,0,0.13
"10","FOREVER","Chris Brown",2008,"7tAXHZdp9UpcYrHn7MZqfo",0.672,0.819,120.013,-4.457,0.0463,0.0371,0.000184,0.203
"11","SEXY CAN I","Ray J & Yung Berg",2008,"0DdpxWfVvUGgkJv5536tiF",0.575,0.684,172.155,-6.007,0.325,0.299,0,0.614
"12","TAKE A BOW","Rihanna",2008,"3goSVuTt3fDYDP6kRnFwuL",0.705,0.469,82.009,-7.46,0.0771,0.242,0,0.104
"13","VIVA LA VIDA","Coldplay",2008,"1mea3bSkSGXuIRvnydlB5b",0.485,0.619,138.017,-7.115,0.0289,0.0941,3.31e-06,0.109
"14","I KISSED A GIRL","Katy Perry",2008,"005lwxGU1tms6HGELIcUv9",0.699,0.76,129.996,-3.173,0.0677,0.00223,0,0.132
"15","WHATEVER YOU LIKE","T.I.",2008,"3tvWMBIblzT5FSjKtIeRR1",0.68,0.687,150.053,-6.162,0.0709,0.0161,0,0.261
"16","DISTURBIA","Rihanna",2008,"2VOomzT6VavJOGBeySqaMc",0.706,0.794,124.93,-4.321,0.0568,0.11,0,0.276
"17","DON'T STOP THE MUSIC","Rihanna",2008,"0ByMNEPAPpOR5H69DVrTNy",0.853,0.676,122.65,-5.533,0.0715,0.0446,3.37e-05,0.0514
"18","POCKETFUL OF SUNSHINE","Natasha Bedingfield",2008,"1uigwk5hNV84zRd5YQQRTk",0.721,0.88,110.021,-3.896,0.0454,0.191,0,0.0769
"19","KISS KISS","Chris Brown Featuring T-Pain",2008,"4CweuuMMzi71pO0MSRgyaT",0.769,0.52,140.112,-5.14,0.212,0.0219,0,0.0762
"20","CLOSER","Ne-Yo",2008,"2XbfY2O2v3xwedUJ0J2kkr",0.724,0.768,125.998,-6.438,0.0792,0.0268,2.44e-05,0.176
"21","BUBBLY","Colbie Caillat",2008,"0rFOs9paloAvEtzwDX1Kmc",0.664,0.491,127.97,-6.544,0.042,0.594,0,0.11
"22","TOUCH MY BODY","Mariah Carey",2008,"2H1l4JczUDbiWfQtQElB05",0.716,0.666,78.498,-7.719,0.0539,0.129,0,0.25
"23","4 MINUTES","Madonna Featuring Justin Timberlake",2008,"1oHClQEgDmmbcEx12Kc5nZ",0.753,0.931,113.029,-4.922,0.0652,0.00994,0.00696,0.234
"24","PARALYZER","Finger Eleven",2008,"28IEbk5a7twNTbUEvWslUb",0.645,0.941,106.015,-3.425,0.0448,0.169,0,0.251
"25","CLUMSY","Fergie",2008,"50xeLNGKmskmYUSINhqvfa",0.728,0.582,184.045,-4.141,0.158,0.196,0.000632,0.304
"26","I'M YOURS","Jason Mraz",2008,"1EzrEOXmMH3G43AXT1y7pA",0.686,0.457,150.953,-8.322,0.0468,0.595,0,0.105
"27","LEAVIN'","Jesse McCartney",2008,"20ORwCJusz4KS2PbTPVNKo",0.693,0.709,79.237,-5.787,0.0608,0.0352,3.4e-06,0.0688
"28","TATTOO","Jordin Sparks",2008,"3Ui2jdyxbZQrZohfM0NOgG",0.566,0.766,168.005,-5.036,0.0399,0.431,0,0.101
"29","SEE YOU AGAIN","Miley Cyrus",2008,"0G71WvIkF2K6HViJeFvOcM",0.685,0.919,138.95,-5.039,0.203,0.0137,3.29e-05,0.114
"30","SHAKE IT","Metro Station",2008,"5619Ojc6t9evEEs3B7Drhe",0.618,0.955,150.034,-3.836,0.0798,0.00221,3.09e-06,0.486
"31","STOP AND STARE","OneRepublic",2008,"48s0QHJgmiNsth3WEO6U4M",0.49,0.849,92.494,-4.234,0.035,0.0593,0,0.082
"32","TAKE YOU THERE","Sean Kingston",2008,"6AdLyvisRKHLAwARaZMGr6",0.752,0.921,115.033,-4.321,0.0696,0.0182,0,0.256
"33","PAPER PLANES","M.I.A.",2008,"1kusepF3AacIEtUTYrw4GV",0.457,0.854,172.231,-6.2,0.265,0.0277,9.62e-05,0.731
"34","HOT N COLD","Katy Perry",2008,"1y4eb6hmAvsqlDOl3fx9kk",0.706,0.841,132.032,-3.956,0.0418,7.95e-05,0,0.0688
"35","LIVE YOUR LIFE","T.I. Featuring Rihanna",2008,"16GHcGtW9Io7AuVdNmTjv3",0.375,0.862,159.841,-3.363,0.255,0.071,0,0.211
"36","BUST IT BABY PART 2","Plies Featuring Ne-Yo",2008,"0exb0K7vsjf5bXWLJJhAuF",0.648,0.801,78.946,-7.24,0.167,0.154,0,0.339
"37","AMERICAN BOY","Estelle Featuring Kanye West",2008,"41on8RwRh22IHcChAN2gm8",0.727,0.729,117.932,-2.99,0.326,0.171,0,0.07
"38","GOT MONEY","Lil Wayne Featuring T-Pain",2008,"46lIt6GmL0VkkbuUyGDbCs",0.442,0.638,82.206,-5.053,0.26,0.00199,0,0.646
