"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo"
"1","SOMEBODY THAT I USED TO KNOW","Gotye",2012,"4wCmqSrbyCgxEXROQE6vtV",0.857,0.517,129.063
"2","CALL ME MAYBE","Carly Rae Jepsen",2012,"6ol4ZSifr7r3Lb2a9L5ZAB",0.781,0.599,120.053
"3","WE ARE YOUNG","fun.",2012,"7a86XRg84qjasly9f6bPSD",0.378,0.638,184.086
"4","PAYPHONE","Maroon 5",2012,"1LmN9SSHISbtp9LoaR5ZVJ",0.74,0.746,110.01
"5","LIGHTS","Ellie Goulding",2012,"7gUpO6td4OOnu0Lf9vhcIV",0.684,0.794,120.024
"6","GLAD YOU CAME","The Wanted",2012,"1OXfWI3FQMdsKKC6lkvzSx",0.698,0.844,126.937
"7","STRONGER (WHAT DOESN'T KILL YOU)","Kelly Clarkson",2012,"6D60klaHqbCl9ySc8VcRss",0.562,0.939,116.044
"8","WE FOUND LOVE","Rihanna",2012,"6qn9YLKt13AGvpq9jfO8py",0.737,0.758,128.007
"9","STARSHIPS","Nicki Minaj",2012,"59RSrxkSKSixEWBAIvE5Wa",0.748,0.727,125.014
"10","WHAT MAKES YOU BEAUTIFUL","One Direction",2012,"3SPDQfj2UfWq6A2NllZnzn",0.729,0.771,125.011
"11","WILD ONES","Flo Rida",2012,"1NpW5kyvO4XrNJ3rnfcNy3",0.608,0.86,127.075
"12","SET FIRE TO THE RAIN","Adele",2012,"3CKCZ9pfwAfoMZlMncA1Nc",0.61,0.683,108.003
"13","SEXY AND I KNOW IT","LMFAO",2012,"0obBFrPYkSoBJbvHfUIhkv",0.698,0.875,129.986
"14","SOME NIGHTS","fun.",2012,"6t6oULCRS6hnI7rm0h5gwl",0.672,0.738,107.938
"15","WIDE AWAKE","Katy Perry",2012,"5JLv62qFIS1DR3zGEcApRt",0.514,0.683,159.814
"16","GOOD FEELING","Flo Rida",2012,"3NcO4jGK1Opb5ea0mYLpxb",0.706,0.89,128.011
"17","WHISTLE","Flo Rida",2012,"0ltBH1JNzSvQJPjJpvTu9B",0.754,0.933,103.992
