"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"1","Love Yourself","Justin Bieber",2016,"50kpGaPAhYJ3sGmk6vplg0",0.607,0.376,102.541,-9.954,0.453,0.856,0,0.285
"2","Sorry","Justin Bieber",2016,"09CtPGIpYB4BrO8qb1RGsF",0.605,0.768,100.209,-3.724,0.0476,0.0865,0,0.308
"3","One Dance","Drake (ft. WizKid & Kyla)",2016,"12VWzyPDBCc8fqeWCAfNwR",0.785,0.617,103.981,-5.871,0.0522,0.00902,0.00246,0.351
"4","Work","Rihanna (ft. Drake)",2016,"32lmL4vQAAotg6MrJnhlQZ",0.667,0.538,91.296,-6.294,0.0953,0.0644,0,0.0928
"5","Stressed Out","Twenty One Pilots",2016,"3CRDbSIZ4r5MsZ0YwxuEkn",0.734,0.637,169.977,-5.677,0.141,0.0462,2.29e-05,0.0602
"6","Panda","Desiigner",2016,"275a9yzwGB6ncAW4SxY7q3",0.72,0.748,145.22,-5.522,0.393,0.0235,0,0.369
"7","Hello","Adele",2016,"0ENSn4fwAbCGeFGVUbXEU3",0.481,0.451,157.966,-6.095,0.0347,0.336,0,0.0872
"8","Don't Let Me Down","The Chainsmokers (ft. Daya)",2016,"1i1fxkWeaMmKEB4T7zqbzK",0.532,0.869,159.803,-5.094,0.172,0.157,0.00508,0.136
"9","Can't Stop the Feeling!","Justin Timberlake",2016,"1WkMMavIMc4JZ8cfMmxHkI",0.669,0.832,113.035,-5.72,0.0682,0.0106,0,0.0968
"10","Closer","The Chainsmokers (ft. Halsey)",2016,"7BKLCZ1jbUBVqRi2FVlTVw",0.748,0.524,95.01,-5.599,0.0338,0.414,0,0.111
"11","Cheap Thrills","Sia (ft. Sean Paul)",2016,"3S4px9f4lceWdKf0gWciFu",0.628,0.698,89.976,-5.608,0.105,0.0472,0.00143,0.0907
"12","7 Years","Lukas Graham",2016,"5kqIPrATaCc2LqxVWzQGbk",0.765,0.473,119.992,-5.829,0.0514,0.287,0,0.391
"13","Needed Me","Rihanna",2016,"1Tt4sE4pXi57mTD1GCzsqm",0.688,0.325,110.888,-8.083,0.251,0.107,0,0.0837
"14","My House","Flo Rida",2016,"6Knv6wdA0luoMUuuoYi2i1",0.688,0.702,94.006,-4.792,0.0499,0.0215,0,0.128
"15","I Took a Pill in Ibiza","Mike Posner",2016,"1MtUq6Wp1eQ8PC6BbPCj8P",0.665,0.725,101.96,-6.588,0.12,0.034,9.17e-06,0.0864
"16","Work from Home","Fifth Harmony (ft. Ty Dolla $ign)",2016,"4tCtwWceOPWzenK2HAIJSb",0.803,0.585,105.017,-5.861,0.0432,0.103,3.94e-06,0.0644
"17","This is What You Came For","Calvin Harris (ft. Rihanna)",2016,"0azC730Exh71aQlOt9Zj3y",0.63,0.928,123.963,-2.787,0.0331,0.199,0.124,0.148
"18","Cake by the Ocean","DNCE",2016,"76hfruVvmfQbw0eYn1nmeC",0.774,0.765,119.001,-5.439,0.0502,0.156,0,0.0373
"19","Me, Myself & I","G-Eazy x Bebe Rexha",2016,"40YcuQysJ0KlGQTeGUosTC",0.757,0.672,111.996,-6.524,0.0955,0.0186,0,0.158
"20","Ride","Twenty One Pilots",2016,"2Z8WuEywRWYTKe1NybPQEW",0.645,0.713,74.989,-5.355,0.0393,0.00835,0,0.113
"21","Heathens","Twenty One Pilots",2016,"6i0V12jOa3mr6uu4WYhUBr",0.732,0.396,90.024,-9.348,0.0286,0.0841,3.58e-05,0.105
"22","Pillowtalk","Zayn",2016,"0PDUDa38GO8lMxLCRc4lL1",0.584,0.7,124.944,-4.275,0.0456,0.117,0,0.0939
"23","Stitches","Shawn Mendes",2016,"5jsw9uXEGuKyJzs0boZ1bT",0.592,0.752,74.784,-6.589,0.114,0.0196,0,0.0477
